name_es,name_eu,name_en,family
Leche,Esnea,Milk,1
Yogurt,Yogurta,Yogurt,1
Kefir,Kefir,Kefir,1
Cuajada,Mamia,Curd,1
Queso,Gazta,Cheese,1
Queso Fresco,Gazta Freskoa,Fresh Cheese,1
Nata,Krema,Cream,1
Helado,Izozkia,Ice Cream,1
Natillas,Natila,Custard,1
Flan,Flan,Flan,1
Bechamel,Bexamel,Bechamel,1
Arroz con Leche,Arroz-esnea,Rice Pudding,1
Gelatina,Gelatina,Jelly,1
Mousse,Mousse,Mousse,1
Dulce de Leche,Caramel Saltsa,Caramel Sauce,1
Ternera,Txahal,Veal,2
Añojo,Urtekoa,Yearling,2
Vaca,Behia,Cow,2
Toro,Zezena,Bull,2
Buey,Idia,Ox,2
Cerdo,Txerria,Pig,2
Cerdo Iberico,Txerri Iberikoa,Iberian Pig,2
Cordero,Ardia,Mutton,2
Cochinillo,Txerrikumea,Sucking Pig,2
Conejo,Untxia,Rabbit,2
Pollo,Oilaskoa,Chicken,2
Pavo,Indioilarra,Turkey,2
Pato,Ahatea,Duck,2
Ave,Hegaztia,Fowl,2
Carne Picada,Haragi Xehatua,Mince,2
Hamburguesa,Hamburgesa,Burger,2
Salchicha,Saltxitxa,Sausage,2
Morcilla,Odolkia,Blood Sausage,2
Chorizo,Txorizoa,Chorizo,2
Chasqueria,Gaztandegia,Offal,2
